{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.205487 + 0.356297 I, -0.412665 - 0.069318 I, 0.238147 + 0.384432 I, -0.422004 - 0.282686 I, 0.149909 + 0.287914 I, 0.296316 + 0.00768625 I},
{0.00879187 + 0.292156 I, -0.271939 - 0.485234 I, 0.279032 + 0.273417 I, -0.0562784 - 0.22046 I, 0.0536942 + 0.0741548 I, 0.523329 + 0.344274 I},
{0.277531 + 0.12764 I, -0.143245 - 0.548957 I, 0.448849 + 0.0174491 I, -0.22869 - 0.0654329 I, 0.223294 + 0.0953136 I, 0.272671 + 0.439508 I},
{0.0562796 + 0.160073 I, -0.0155803 - 0.303269 I, 0.298675 + 0.484645 I, -0.202244 - 0.00555695 I, 0.4572 + 0.0947424 I, 0.527628 + 0.13257 I},
{0.431314 + 0.428162 I, -0.323323 - 0.288736 I, 0.17033 + 0.233006 I, -0.204601 - 0.330214 I, 0.151702 + 0.326087 I, 0.119541 + 0.254747 I},
{0.0830596 + 0.223989 I, -0.391447 - 0.0896143 I, 0.401234 + 0.0135826 I, -0.112321 - 0.257485 I, 0.450244 + 0.34081 I, 0.302154 + 0.362508 I},
{0.343435 + 0.422356 I, -0.39138 - 0.443537 I, 0.333778 + 0.00517293 I, -0.234115 - 0.155989 I, 0.005576 + 0.258201 I, 0.122038 + 0.28565 I},
{0.154405 + 0.437944 I, -0.329086 - 0.0679389 I, 0.425361 + 0.410781 I, -0.162367 - 0.340958 I, 0.110223 + 0.315624 I, 0.178103 + 0.188874 I},
{0.333951 + 0.425611 I, -0.197418 - 0.0206108 I, 0.330856 + 0.0796536 I, -0.150836 - 0.418169 I, 0.267576 + 0.32029 I, 0.255032 + 0.339532 I},
{0.264004 + 0.0434313 I, -0.227771 - 0.0679671 I, 0.147901 + 0.407388 I, -0.284769 - 0.354563 I, 0.440555 + 0.375758 I, 0.299021 + 0.229284 I},
{0.128617 + 0.376821 I, -0.244686 - 0.306728 I, 0.504231 + 0.00852285 I, -0.431391 - 0.148119 I, 0.128715 + 0.288864 I, 0.349788 + 0.0528141 I},
{0.275105 + 0.425692 I, -0.391672 - 0.195208 I, 0.317589 + 0.355976 I, -0.150994 - 0.01359 I, 0.12507 + 0.413952 I, 0.330157 + 0.0708731 I},
{0.0630741 + 0.308509 I, -0.425101 - 0.310856 I, 0.0284979 + 0.338773 I, -0.241707 - 0.268302 I, 0.433436 + 0.0514787 I, 0.30885 + 0.302668 I},
{0.464953 + 0.181298 I, -0.0366174 - 0.362888 I, 0.400319 + 0.39895 I, -0.442312 - 0.052096 I, 0.137699 + 0.148002 I, 0.148803 + 0.192725 I},
{0.061833 + 0.23844 I, -0.473569 - 0.301223 I, 0.148722 + 0.237899 I, -0.123592 - 0.43673 I, 0.0967584 + 0.412818 I, 0.179301 + 0.357306 I},
{0.0329048 + 0.0993792 I, -0.373473 - 0.102942 I, 0.435162 + 0.00531654 I, -0.0482086 - 0.451053 I, 0.358228 + 0.423125 I, 0.33464 + 0.156361 I},
{0.399859 + 0.496172 I, -0.309556 - 0.00184825 I, 0.306831 + 0.206364 I, -0.34121 - 0.199734 I, 0.0696708 + 0.180255 I, 0.227005 + 0.340839 I},
{0.379509 + 0.173064 I, -0.345951 - 0.417018 I, 0.268156 + 0.138104 I, -0.304563 - 0.383916 I, 0.0114418 + 0.109377 I, 0.284446 + 0.329092 I},
{0.299205 + 0.425019 I, -0.270871 - 0.377255 I, 0.34094 + 0.320967 I, -0.106884 - 0.0453724 I, 0.156968 + 0.268573 I, 0.33636 + 0.267378 I},
{0.419666 + 0.0691647 I, -0.37158 - 0.282466 I, 0.109059 + 0.232286 I, -0.33225 - 0.11602 I, 0.0870176 + 0.319717 I, 0.326908 + 0.441448 I},
{0.0268206 + 0.146402 I, -0.274039 - 0.503318 I, 0.215571 + 0.292319 I, -0.223356 - 0.0322838 I, 0.387356 + 0.499505 I, 0.168632 + 0.196424 I},
{0.484157 + 0.125773 I, -0.199026 - 0.124674 I, 0.225917 + 0.303632 I, -0.467251 - 0.109896 I, 0.379648 + 0.220671 I, 0.0459578 + 0.355029 I},
{0.289715 + 0.254037 I, -0.430285 - 0.125523 I, 0.377939 + 0.174497 I, -0.072179 - 0.353009 I, 0.230271 + 0.373227 I, 0.10891 + 0.378593 I},
{0.463712 + 0.41776 I, -0.415165 - 0.164726 I, 0.0407547 + 0.306888 I, -0.10552 - 0.0748082 I, 0.107129 + 0.394984 I, 0.194604 + 0.30499 I},
{0.191315 + 0.178737 I, -0.282575 - 0.239651 I, 0.303341 + 0.159799 I, -0.334756 - 0.221705 I, 0.225064 + 0.414727 I, 0.321688 + 0.43505 I},
{0.102634 + 0.0233224 I, -0.444193 - 0.237514 I, 0.29953 + 0.320161 I, -0.442655 - 0.353295 I, 0.0557291 + 0.416547 I, 0.0505131 + 0.207488 I},
{0.299421 + 0.186503 I, -0.304594 - 0.057786 I, 0.15418 + 0.314189 I, -0.28431 - 0.402813 I, 0.369514 + 0.243393 I, 0.42344 + 0.196946 I},
{0.403284 + 0.457347 I, -0.0847317 - 0.293541 I, 0.241392 + 0.241532 I, -0.39687 - 0.147484 I, 0.291922 + 0.31111 I, 0.0889574 + 0.221504 I},
{0.110997 + 0.0552097 I, -0.363096 - 0.260756 I, 0.251759 + 0.267104 I, -0.481228 - 0.291865 I, 0.413734 + 0.314819 I, 0.243897 + 0.0594423 I},
{0.108766 + 0.074617 I, -0.507283 - 0.302761 I, 0.498546 + 0.052124 I, -0.279967 - 0.0126644 I, 0.0612942 + 0.493294 I, 0.0977836 + 0.217111 I},
{0.151408 + 0.107935 I, -0.400983 - 0.200133 I, 0.0172579 + 0.405451 I, -0.279149 - 0.0613199 I, 0.342529 + 0.537489 I, 0.333057 + 0.0326271 I},
{0.213549 + 0.402604 I, -0.463302 - 0.0546893 I, 0.425837 + 0.0680505 I, -0.019537 - 0.444219 I, 0.273886 + 0.295819 I, 0.166935 + 0.0244451 I},
{0.198711 + 0.370675 I, -0.096398 - 0.0152723 I, 0.22799 + 0.464277 I, -0.245293 - 0.365718 I, 0.0644988 + 0.146621 I, 0.339231 + 0.459784 I},
{0.356654 + 0.254226 I, -0.059806 - 0.381735 I, 0.0628281 + 0.136561 I, -0.119582 - 0.46199 I, 0.347944 + 0.1506 I, 0.336879 + 0.38898 I},
{0.273417 + 0.22337 I, -0.291503 - 0.341945 I, 0.203795 + 0.42202 I, -0.371596 - 0.391866 I, 0.166888 + 0.129427 I, 0.271055 + 0.209995 I},
{0.473948 + 0.0721924 I, -0.0545322 - 0.359969 I, 0.19894 + 0.242833 I, -0.272719 - 0.00147837 I, 0.493546 + 0.251317 I, 0.357941 + 0.172679 I},
{0.399867 + 0.18982 I, -0.491321 - 0.0360013 I, 0.360515 + 0.279999 I, -0.123756 - 0.00906756 I, 0.373809 + 0.037751 I, 0.34166 + 0.282356 I},
{0.180926 + 0.558652 I, -0.106747 - 0.236254 I, 0.0910731 + 0.163381 I, -0.10289 - 0.00950299 I, 0.289456 + 0.346503 I, 0.385773 + 0.435463 I},
{0.0470173 + 0.229355 I, -0.515307 - 0.480412 I, 0.243653 + 0.226154 I, -0.11039 - 0.110311 I, 0.497576 + 0.192928 I, 0.0420861 + 0.165552 I},
{0.240022 + 0.0393525 I, -0.247769 - 0.337159 I, 0.334944 + 0.377889 I, -0.308196 - 0.21656 I, 0.366629 + 0.327185 I, 0.166028 + 0.316026 I},
{0.156985 + 0.01441 I, -0.22031 - 0.0853031 I, 0.326517 + 0.0443531 I, -0.527541 - 0.161008 I, 0.222689 + 0.0498129 I, 0.56129 + 0.373381 I},
{0.131334 + 0.245458 I, -0.284386 - 0.0483185 I, 0.440377 + 0.220803 I, -0.34673 - 0.376451 I, 0.467893 + 0.0432424 I, 0.223927 + 0.252452 I},
{0.0478167 + 0.339796 I, -0.158945 - 0.0889067 I, 0.20218 + 0.0289929 I, -0.394966 - 0.407622 I, 0.411799 + 0.388714 I, 0.18709 + 0.359908 I},
{0.307693 + 0.025216 I, -0.128515 - 0.431724 I, 0.453331 + 0.305268 I, -0.420704 - 0.101834 I, 0.430363 + 0.0744747 I, 0.156036 + 0.0249406 I},
{0.374151 + 0.327213 I, -0.0914355 - 0.379471 I, 0.121707 + 0.36607 I, -0.156518 - 0.36202 I, 0.333591 + 0.100329 I, 0.359619 + 0.213384 I},
{0.147099 + 0.0215876 I, -0.4607 - 0.381675 I, 0.315861 + 0.0538032 I, -0.46802 - 0.18989 I, 0.0898659 + 0.0444635 I, 0.279502 + 0.417178 I},
{0.076582 + 0.30528 I, -0.41376 - 0.104154 I, 0.391437 + 0.226041 I, -0.209194 - 0.250486 I, 0.272381 + 0.14269 I, 0.352017 + 0.435434 I},
{0.201103 + 0.0610392 I, -0.161345 - 0.108386 I, 0.329223 + 0.506986 I, -0.489484 - 0.0914348 I, 0.313218 + 0.0739468 I, 0.435934 + 0.10518 I},
{0.432208 + 0.28381 I, -0.307581 - 0.436166 I, 0.372764 + 0.31872 I, -0.313864 - 0.143292 I, 0.248995 + 0.0599271 I, 0.103745 + 0.10895 I},
{0.0072124 + 0.160096 I, -0.282911 - 0.522334 I, 0.229193 + 0.184989 I, -0.365398 - 0.353337 I, 0.150294 + 0.273938 I, 0.219817 + 0.361086 I},
{0.322632 + 0.294887 I, -0.293407 - 0.0358484 I, 0.12326 + 0.326346 I, -0.232682 - 0.142329 I, 0.175356 + 0.197706 I, 0.57797 + 0.348707 I},
{0.110968 + 0.375667 I, -0.0546053 - 0.196408 I, 0.421474 + 0.418411 I, -0.205699 - 0.426956 I, 0.124446 + 0.00239426 I, 0.120379 + 0.444643 I},
{0.426525 + 0.152152 I, -0.497687 - 0.120464 I, 0.127632 + 0.297632 I, -0.250359 - 0.39745 I, 0.150305 + 0.00558978 I, 0.429613 + 0.00336891 I},
{0.435875 + 0.253538 I, -0.464855 - 0.0933648 I, 0.399142 + 0.268337 I, -0.0916803 - 0.408618 I, 0.0504367 + 0.214418 I, 0.197539 + 0.163372 I},
{0.102886 + 0.402396 I, -0.162577 - 0.260135 I, 0.315313 + 0.285204 I, -0.292642 - 0.0303309 I, 0.431906 + 0.398283 I, 0.267138 + 0.22256 I},
{0.00785075 + 0.332161 I, -0.139271 - 0.555707 I, 0.176759 + 0.190832 I, -0.503776 - 0.00927171 I, 0.429235 + 0.0868368 I, 0.178214 + 0.127756 I},
{0.311057 + 0.190566 I, -0.449852 - 0.304436 I, 0.145089 + 0.134294 I, -0.294602 - 0.117407 I, 0.288341 + 0.306445 I, 0.285795 + 0.416525 I},
{0.0102471 + 0.130512 I, -0.128505 - 0.45227 I, 0.00297417 + 0.326461 I, -0.123575 - 0.304699 I, 0.36862 + 0.348909 I, 0.27291 + 0.463686 I},
{0.101331 + 0.10363 I, -0.0863764 - 0.343204 I, 0.0210113 + 0.252663 I, -0.184492 - 0.479069 I, 0.298052 + 0.520678 I, 0.336484 + 0.229688 I},
{0.465578 + 0.079693 I, -0.387332 - 0.286545 I, 0.448948 + 0.0744415 I, -0.101873 - 0.237621 I, 0.238498 + 0.221711 I, 0.154038 + 0.375565 I},
{0.263129 + 0.355919 I, -0.00163803 - 0.395655 I, 0.364249 + 0.39973 I, -0.0449636 - 0.368435 I, 0.257681 + 0.0149088 I, 0.224281 + 0.316841 I},
{0.271616 + 0.276133 I, -0.278529 - 0.302848 I, 0.0794521 + 0.241796 I, -0.375086 - 0.173165 I, 0.343841 + 0.396152 I, 0.349612 + 0.218713 I},
{0.207788 + 0.0821167 I, -0.337913 - 0.277974 I, 0.427289 + 0.172996 I, -0.070216 - 0.445678 I, 0.321046 + 0.232921 I, 0.189336 + 0.386515 I},
{0.37136 + 0.416475 I, -0.153111 - 0.0491506 I, 0.248436 + 0.431505 I, -0.0548952 - 0.354346 I, 0.104385 + 0.151947 I, 0.337292 + 0.37221 I},
{0.342564 + 0.255646 I, -0.265183 - 0.0705013 I, 0.336659 + 0.181019 I, -0.385261 - 0.324626 I, 0.0199815 + 0.376799 I, 0.342655 + 0.286878 I},
{0.0307824 + 0.412286 I, -0.267866 - 0.127304 I, 0.202727 + 0.503303 I, -0.339655 - 0.0348002 I, 0.481757 + 0.278119 I, 0.0144212 + 0.143102 I},
{0.0686753 + 0.00982532 I, -0.450656 - 0.484576 I, 0.000235146 + 0.484578 I, -0.00725477 - 0.0643867 I, 0.20431 + 0.270212 I, 0.449224 + 0.0413453 I},
{0.0465854 + 0.254752 I, -0.0689081 - 0.234539 I, 0.023142 + 0.141348 I, -0.459795 - 0.461403 I, 0.425623 + 0.495569 I, 0.0391222 + 0.00901737 I},
{0.307743 + 0.388936 I, -0.162323 - 0.267713 I, 0.381607 + 0.40398 I, -0.0397024 - 0.24015 I, 0.156871 + 0.468238 I, 0.191375 + 0.0863322 I},
{0.0162593 + 0.330623 I, -0.285505 - 0.201521 I, 0.362975 + 0.342375 I, -0.433229 - 0.324107 I, 0.244553 + 0.0460453 I, 0.281651 + 0.292133 I},
{0.10226 + 0.448457 I, -0.0208131 - 0.108381 I, 0.0351796 + 0.00025771 I, -0.56998 - 0.0357892 I, 0.447183 + 0.230082 I, 0.13576 + 0.421322 I},
{0.346903 + 0.451485 I, -0.335221 - 0.297646 I, 0.507814 + 0.0938245 I, -0.317058 - 0.0767336 I, 0.001028 + 0.264523 I, 0.152762 + 0.091934 I},
{0.117224 + 0.36577 I, -0.194582 - 0.203202 I, 0.463772 + 0.227286 I, -0.440912 - 0.105617 I, 0.166219 + 0.2168 I, 0.372822 + 0.295616 I},
{0.0846361 + 0.437529 I, -0.197289 - 0.0979668 I, 0.399828 + 0.200996 I, -0.409144 - 0.26428 I, 0.0133108 + 0.440016 I, 0.0829108 + 0.338696 I},
{0.25148 + 0.437909 I, -0.452598 - 0.00139919 I, 0.428248 + 0.140083 I, -0.00409134 - 0.45427 I, 0.119023 + 0.237343 I, 0.0872 + 0.229452 I},
{0.22927 + 0.0991538 I, -0.162587 - 0.200476 I, 0.202631 + 0.543721 I, -0.327777 - 0.311442 I, 0.0655596 + 0.305278 I, 0.14177 + 0.46072 I},
{0.470787 + 0.225291 I, -0.280063 - 0.253986 I, 0.0706746 + 0.293328 I, -0.33109 - 0.102107 I, 0.460429 + 0.21292 I, 0.172163 + 0.294291 I},
{0.220455 + 0.385857 I, -0.255862 - 0.105274 I, 0.339961 + 0.0753116 I, -0.28695 - 0.522604 I, 0.26867 + 0.0114611 I, 0.257753 + 0.332436 I},
{0.177919 + 0.0459795 I, -0.188462 - 0.200018 I, 0.204205 + 0.22629 I, -0.346676 - 0.116823 I, 0.444057 + 0.559218 I, 0.186935 + 0.345126 I},
{0.426468 + 0.243259 I, -0.329296 - 0.0480333 I, 0.376827 + 0.0274354 I, -0.363656 - 0.201474 I, 0.0680852 + 0.471818 I, 0.287614 + 0.150494 I},
{0.0580774 + 0.143284 I, -0.0191813 - 0.245437 I, 0.223151 + 0.582474 I, -0.490285 - 0.196261 I, 0.483188 + 0.0254329 I, 0.115758 + 0.00147406 I},
{0.277686 + 0.373102 I, -0.0427382 - 0.236245 I, 0.342905 + 0.433338 I, -0.399031 - 0.307626 I, 0.10276 + 0.224198 I, 0.135673 + 0.295957 I},
{0.379131 + 0.0677974 I, -0.243475 - 0.171969 I, 0.371143 + 0.332053 I, -0.0898533 - 0.417303 I, 0.355329 + 0.158052 I, 0.270639 + 0.328791 I},
{0.252206 + 0.156407 I, -0.364657 - 0.301128 I, 0.173787 + 0.0624586 I, -0.358174 - 0.350889 I, 0.381635 + 0.257503 I, 0.303667 + 0.313999 I},
{0.103113 + 0.0432433 I, -0.310558 - 0.00602003 I, 0.212379 + 0.136331 I, -0.632222 - 0.535189 I, 0.0980273 + 0.171279 I, 0.290684 + 0.133223 I},
{0.439373 + 0.276434 I, -0.290171 - 0.495676 I, 0.21349 + 0.218204 I, -0.209498 - 0.124681 I, 0.431138 + 0.0801784 I, 0.228199 + 0.0602744 I},
{0.444839 + 0.361123 I, -0.324838 - 0.270365 I, 0.292625 + 0.0740813 I, -0.293719 - 0.111081 I, 0.0305158 + 0.246569 I, 0.479663 + 0.107514 I},
{0.296155 + 0.283627 I, -0.318958 - 0.190825 I, 0.357667 + 0.153813 I, -0.451831 - 0.0597181 I, 0.140893 + 0.0615835 I, 0.424207 + 0.361666 I},
{0.522317 + 0.094307 I, -0.350087 - 0.24416 I, 0.333306 + 0.121854 I, -0.0370565 - 0.00126419 I, 0.366908 + 0.167566 I, 0.473761 + 0.147143 I},
{0.210975 + 0.260991 I, -0.265095 - 0.0301302 I, 0.0811301 + 0.294357 I, -0.125837 - 0.138927 I, 0.462848 + 0.460145 I, 0.426692 + 0.282486 I},
{0.35242 + 0.247417 I, -0.030163 - 0.18397 I, 0.225978 + 0.254746 I, -0.381616 - 0.257482 I, 0.129811 + 0.328142 I, 0.36738 + 0.438686 I},
{0.348528 + 0.337395 I, -0.0523725 - 0.135902 I, 0.0990811 + 0.218235 I, -0.379452 - 0.160084 I, 0.447495 + 0.439651 I, 0.240706 + 0.254839 I},
{0.345565 + 0.261611 I, -0.406981 - 0.367671 I, 0.186471 + 0.441663 I, -0.271871 - 0.142582 I, 0.348351 + 0.0718374 I, 0.190635 + 0.156196 I},
{0.417147 + 0.402423 I, -0.156116 - 0.104234 I, 0.132027 + 0.178361 I, -0.137033 - 0.454241 I, 0.368261 + 0.299306 I, 0.064133 + 0.353747 I},
{0.379224 + 0.372142 I, -0.154217 - 0.31896 I, 0.358683 + 0.267984 I, -0.0340225 - 0.265935 I, 0.198185 + 0.12525 I, 0.40625 + 0.315958 I},
{0.4345 + 0.136218 I, -0.476451 - 0.0440372 I, 0.348535 + 0.311295 I, -0.186833 - 0.291619 I, 0.277136 + 0.238434 I, 0.125578 + 0.275601 I},
{0.0819377 + 0.346373 I, -0.264101 - 0.338976 I, 0.40899 + 0.408664 I, -0.271753 - 0.402297 I, 0.116306 + 0.13669 I, 0.109423 + 0.27295 I},
{0.188536 + 0.00815919 I, -0.0462543 - 0.338933 I, 0.303197 + 0.203404 I, -0.0759352 - 0.51374 I, 0.483229 + 0.223255 I, 0.156642 + 0.36944 I},
{0.223292 + 0.138725 I, -0.498876 - 0.14789 I, 0.49488 + 0.465385 I, -0.138321 - 0.152713 I, 0.00543854 + 0.220229 I, 0.149779 + 0.291958 I},
{0.227458 + 0.402579 I, -0.0851282 - 0.36178 I, 0.434671 + 0.159559 I, -0.356719 - 0.01795 I, 0.232042 + 0.136752 I, 0.364568 + 0.317235 I},
{0.035599 + 0.495976 I, -0.349437 - 0.269321 I, 0.0328988 + 0.077697 I, -0.126417 - 0.131565 I, 0.237087 + 0.23742 I, 0.400132 + 0.494981 I},
{0.367649 + 0.0276225 I, -0.202724 - 0.39841 I, 0.2689 + 0.43375 I, -0.0983133 - 0.00757438 I, 0.0172811 + 0.339178 I, 0.527522 + 0.0213181 I},
{0.429502 + 0.23527 I, -0.0455487 - 0.333458 I, 0.400143 + 0.278527 I, -0.419236 - 0.198597 I, 0.413071 + 0.124396 I, 0.0648093 + 0.0609445 I},
{0.249323 + 0.410572 I, -0.212067 - 0.151537 I, 0.162083 + 0.43401 I, -0.0426965 - 0.23149 I, 0.503104 + 0.0677957 I, 0.300486 + 0.288591 I},
{0.146474 + 0.502522 I, -0.17357 - 0.175109 I, 0.252763 + 0.437644 I, -0.08952 - 0.48402 I, 0.316229 + 0.117353 I, 0.224703 + 0.0570269 I},
{0.390335 + 0.31976 I, -0.296352 - 0.121945 I, 0.347117 + 0.391668 I, -0.166678 - 0.0313528 I, 0.284753 + 0.345926 I, 0.24608 + 0.280595 I},
{0.0101105 + 0.314731 I, -0.267006 - 0.0782577 I, 0.478827 + 0.458693 I, -0.102943 - 0.253678 I, 0.450733 + 0.131417 I, 0.266975 + 0.130747 I},
{0.317682 + 0.371018 I, -0.165603 - 0.127573 I, 0.135345 + 0.376042 I, -0.0704539 - 0.301721 I, 0.3748 + 0.371955 I, 0.319643 + 0.284607 I},
{0.113408 + 0.428396 I, -0.100722 - 0.434807 I, 0.329335 + 0.106512 I, -0.424288 - 0.027054 I, 0.420086 + 0.204182 I, 0.140689 + 0.256708 I},
{0.18609 + 0.0408182 I, -0.452711 - 0.476533 I, 0.226126 + 0.220241 I, -0.0129505 - 0.0608655 I, 0.131329 + 0.00255439 I, 0.391886 + 0.507281 I},
{0.421557 + 0.0485835 I, -0.0384646 - 0.438571 I, 0.155115 + 0.483512 I, -0.263628 - 0.250333 I, 0.109663 + 0.440264 I, 0.0400339 + 0.169213 I},
{0.450714 + 0.0207714 I, -0.354893 - 0.0654939 I, 0.0416485 + 0.0314812 I, -0.287819 - 0.470275 I, 0.0198183 + 0.276089 I, 0.0807262 + 0.525669 I},
{0.0296221 + 0.177306 I, -0.19855 - 0.374446 I, 0.297217 + 0.20855 I, -0.157868 - 0.395495 I, 0.431642 + 0.339987 I, 0.265861 + 0.319836 I},
{0.399953 + 0.0553483 I, -0.206253 - 0.412176 I, 0.0250284 + 0.121554 I, -0.152798 - 0.356669 I, 0.096338 + 0.422666 I, 0.230067 + 0.46661 I},
{0.117788 + 0.247398 I, -0.0887916 - 0.156422 I, 0.401321 + 0.0772418 I, -0.131888 - 0.448391 I, 0.460788 + 0.312114 I, 0.390317 + 0.212147 I},
{0.245974 + 0.290728 I, -0.40679 - 0.38519 I, 0.10008 + 0.00159309 I, -0.298829 - 0.360416 I, 0.282346 + 0.327975 I, 0.0881004 + 0.341845 I},
{0.480126 + 0.0637245 I, -0.448619 - 0.328431 I, 0.0083566 + 0.116846 I, -0.302496 - 0.212783 I, 0.194564 + 0.307332 I, 0.372097 + 0.18715 I},
{0.486638 + 0.0398459 I, -0.158227 - 0.0743112 I, 0.0565871 + 0.0690115 I, -0.581 - 0.16243 I, 0.429137 + 0.417348 I, 0.0166753 + 0.0226579 I},
{0.421591 + 0.262508 I, -0.114083 - 0.367269 I, 0.10298 + 0.0540174 I, -0.203597 - 0.466189 I, 0.484213 + 0.0811849 I, 0.042744 + 0.300435 I},
{0.307536 + 0.280064 I, -0.418709 - 0.136235 I, 0.104347 + 0.0566875 I, -0.231894 - 0.481901 I, 0.254913 + 0.409746 I, 0.167291 + 0.268598 I},
{0.129576 + 0.0470844 I, -0.516219 - 0.277219 I, 0.221498 + 0.45044 I, -0.452989 - 0.326411 I, 0.10082 + 0.161996 I, 0.0646962 + 0.182667 I},
{0.355981 + 0.345064 I, -0.349255 - 0.22876 I, 0.308079 + 0.4415 I, -0.0451828 - 0.274861 I, 0.0221078 + 0.174325 I, 0.301572 + 0.30108 I},
{0.258406 + 0.176908 I, -0.179358 - 0.41139 I, 0.227295 + 0.280068 I, -0.189084 - 0.12141 I, 0.377488 + 0.498915 I, 0.178444 + 0.310916 I},
{0.105346 + 0.202781 I, -0.0176348 - 0.294647 I, 0.286637 + 0.15083 I, -0.253042 - 0.334802 I, 0.430828 + 0.457671 I, 0.410408 + 0.126928 I},
{0.442185 + 0.45631 I, -0.344805 - 0.0752511 I, 0.161274 + 0.41576 I, -0.0339314 - 0.248136 I, 0.0368912 + 0.126759 I, 0.131574 + 0.418774 I},
{0.419231 + 0.129152 I, -0.0440744 - 0.122052 I, 0.175146 + 0.256805 I, -0.372748 - 0.395073 I, 0.384582 + 0.429129 I, 0.0960166 + 0.240423 I},
{0.195203 + 0.467315 I, -0.161912 - 0.0690478 I, 0.387407 + 0.154607 I, -0.408273 - 0.287843 I, 0.204604 + 0.466382 I, 0.00288807 + 0.1721 I},
{0.29563 + 0.0212115 I, -0.0430024 - 0.0207796 I, 0.204123 + 0.219841 I, -0.318712 - 0.00771332 I, 0.295085 + 0.643271 I, 0.434114 + 0.170034 I},
{0.0129166 + 0.179841 I, -0.244132 - 0.0716039 I, 0.0323557 + 0.206928 I, -0.330245 - 0.482032 I, 0.39412 + 0.533593 I, 0.0285018 + 0.276795 I},
{0.459825 + 0.264074 I, -0.313094 - 0.387078 I, 0.298375 + 0.300214 I, -0.0130355 - 0.059253 I, 0.131106 + 0.223868 I, 0.290551 + 0.369332 I},
{0.365282 + 0.0774328 I, -0.388988 - 0.262142 I, 0.110412 + 0.0305798 I, -0.351032 - 0.42668 I, 0.335324 + 0.10209 I, 0.165484 + 0.414595 I},
{0.375323 + 0.202163 I, -0.000430051 - 0.363962 I, 0.0552735 + 0.199724 I, -0.380272 - 0.322794 I, 0.332233 + 0.408061 I, 0.169427 + 0.297401 I},
{0.0945205 + 0.138216 I, -0.307589 - 0.393208 I, 0.42258 + 0.199177 I, -0.3484 - 0.384259 I, 0.259418 + 0.409809 I, 0.00565183 + 0.0135473 I},
{0.293553 + 0.0475708 I, -0.336036 - 0.0799009 I, 0.230933 + 0.0727145 I, -0.41256 - 0.213635 I, 0.444339 + 0.314913 I, 0.405118 + 0.238891 I},
{0.352472 + 0.27666 I, -0.363401 - 0.289093 I, 0.260867 + 0.0332272 I, -0.340027 - 0.341322 I, 0.155908 + 0.0513176 I, 0.356656 + 0.358007 I},
{0.244541 + 0.118125 I, -0.25627 - 0.396146 I, 0.284948 + 0.328513 I, -0.282194 - 0.122539 I, 0.297827 + 0.0149958 I, 0.500258 + 0.284062 I},
{0.126482 + 0.12674 I, -0.444894 - 0.167084 I, 0.236458 + 0.225683 I, -0.359756 - 0.404541 I, 0.133929 + 0.211434 I, 0.266902 + 0.456389 I},
{0.139102 + 0.140919 I, -0.0361213 - 0.219242 I, 0.0813688 + 0.0991289 I, -0.508836 - 0.351518 I, 0.5226 + 0.226613 I, 0.235875 + 0.363859 I},
{0.292425 + 0.0704143 I, -0.284874 - 0.162465 I, 0.225519 + 0.439165 I, -0.0362835 - 0.276449 I, 0.306687 + 0.512087 I, 0.236364 + 0.261455 I},
{0.0754088 + 0.264521 I, -0.12546 - 0.107651 I, 0.515439 + 0.385943 I, -0.307839 - 0.322321 I, 0.0464095 + 0.37845 I, 0.371879 + 0.00748317 I},
{0.0212473 + 0.393436 I, -0.0659632 - 0.0912476 I, 0.282638 + 0.0872633 I, -0.256517 - 0.473286 I, 0.41411 + 0.0574318 I, 0.348027 + 0.398587 I},
{0.333832 + 0.0941728 I, -0.403719 - 0.231317 I, 0.260577 + 0.302433 I, -0.129687 - 0.327495 I, 0.540998 + 0.025647 I, 0.0801986 + 0.282816 I},
{0.16983 + 0.291026 I, -0.339268 - 0.530852 I, 0.352309 + 0.141035 I, -0.370764 - 0.161327 I, 0.161758 + 0.0953234 I, 0.0454738 + 0.380434 I},
{0.162899 + 0.0185151 I, -0.238436 - 0.385794 I, 0.309324 + 0.384337 I, -0.390533 - 0.220758 I, 0.209262 + 0.368981 I, 0.374531 + 0.0507523 I},
{0.397947 + 0.339774 I, -0.157906 - 0.325646 I, 0.303233 + 0.335617 I, -0.169488 - 0.0968583 I, 0.244702 + 0.307412 I, 0.309267 + 0.320138 I},
{0.00940146 + 0.305989 I, -0.319042 - 0.324843 I, 0.468783 + 0.0130301 I, -0.42181 - 0.314734 I, 0.223064 + 0.35837 I, 0.104539 + 0.11379 I},
{0.14648 + 0.411335 I, -0.0818879 - 0.420041 I, 0.376148 + 0.34585 I, -0.173368 - 0.383146 I, 0.335032 + 0.11414 I, 0.130046 + 0.214626 I},
{0.278795 + 0.263938 I, -0.367628 - 0.368854 I, 0.0364026 + 0.089946 I, -0.0981907 - 0.130205 I, 0.336152 + 0.419355 I, 0.379302 + 0.335664 I},
{0.317769 + 0.144353 I, -0.465494 - 0.198026 I, 0.149707 + 0.107643 I, -0.194057 - 0.241164 I, 0.467866 + 0.449847 I, 0.15406 + 0.217885 I},
